PROJECT_ID,FILE,RISK_TIER,P_FAIL_90,P_FAIL_180,P_FAIL_365,P_FAIL_730,COST_OF_BUG,COST_TO_REFACTOR,EXPECTED_LOSS,NET_SAVINGS,ROI_PERCENT,total_debt_minutes,bug_count,code_smell_count,commit_count,num_contributors
org.apache:collections,EqualPredicateTest.java,HIGH,0.08598134743832775,0.26009090768790566,0.5110869835478047,0.7626398528673279,4037.5,56.25,2063.5136960742616,2007.2636960742616,3568.4687930209093,15.0,1.0,0.0,7,6
org.apache:commons-io,CloseShieldOutputStreamTest.java,HIGH,0.09806022756155386,0.2923466750832546,0.560208452220347,0.808139200519103,3622.5,56.25,2029.355118168207,1973.105118168207,3507.7424322990346,10.0,0.0,1.0,10,8
org.apache:vfs,AbstractVfsContainer.java,HIGH,0.08954656362837798,0.2697166004050833,0.5260612545141259,0.7770249800753636,3667.5,56.25,1929.3296509305567,1873.0796509305567,3329.9193794321004,30.0,0.0,2.0,33,12
org.apache:vfs,FileSystemAndNameKey.java,HIGH,0.08771302157950389,0.26477728239662734,0.518411063705003,0.7697322288523377,3633.75,56.25,1883.7762027380547,1827.5262027380547,3248.9354715343197,15.0,1.0,0.0,24,9
org.apache:commons-io,ByteOrderMarkTestCase.java,HIGH,0.08751035152943842,0.2642298818784693,0.5175588619724172,0.7689125445200461,3543.2,56.25,1833.8145597406685,1777.5645597406685,3160.1147728722995,48.0,0.0,5.0,15,8
org.apache:commons-io,CompositeFileComparator.java,HIGH,0.0826895391548026,0.25112467583301434,0.49689541408999527,0.7485895467209736,3667.5,56.25,1822.3639311750576,1766.1139311750576,3139.758099866769,30.0,1.0,0.0,20,7
org.apache:commons-io,ReverseComparator.java,HIGH,0.08060090552696386,0.24539629290962428,0.48770533980291964,0.7392743672947244,3667.5,56.25,1788.6593337272077,1732.4093337272077,3079.838815515036,30.0,1.0,0.0,16,6
org.apache:collections,DefaultMapEntryTest.java,HIGH,0.07789550853847127,0.2379307398931848,0.47558349258130617,0.7267270557965541,3622.5,56.25,1722.8012018757815,1666.5512018757815,2962.7576922236117,10.0,0.0,1.0,10,7
org.apache:commons-io,ProxyReaderTest.java,HIGH,0.08002368711765218,0.24380778179926377,0.4851398109317828,0.7366435100172638,3527.5,56.25,1711.330683061864,1655.080683061864,2942.365658776647,60.0,0.0,4.0,17,10
org.apache:collections,TransformingComparator.java,HIGH,0.07522173846793201,0.2305017017633626,0.46335769081782197,0.7137719780788752,3667.5,56.25,1699.364331074362,1643.114331074362,2921.0921441321993,30.0,1.0,0.0,35,10
org.apache:commons-io,AutoCloseInputStream.java,HIGH,0.07483019334399466,0.2294095505717355,0.46154659642970874,0.7118272116339184,3645.0,56.25,1682.3373439862883,1626.0873439862883,2890.8219448645123,20.0,1.0,0.0,17,5
org.apache:ognl,ASTNotIn.java,HIGH,0.07658544383503274,0.23429705828113423,0.4696240069735318,0.7204497445981959,3573.2999999999997,56.25,1678.107464118521,1621.857464118521,2883.3021584329263,62.0,0.0,4.0,12,7
org.apache:ognl,ASTIn.java,HIGH,0.07656259765470808,0.23423358300082353,0.46951955654966404,0.7203390849902516,3573.2999999999997,56.25,1677.7342314189143,1621.4842314189143,2882.6386336336254,62.0,0.0,4.0,12,7
org.apache:collections,TransformedListTest.java,HIGH,0.07368958883100996,0.22622182286146775,0.45624022705689427,0.7060910983106146,3542.5,56.25,1616.231004349048,1559.981004349048,2773.299563287196,35.0,2.0,1.0,11,7
org.apache:commons-io,DelegateFileFilter.java,HIGH,0.07481333884342256,0.22936251329634272,0.46146851600436367,0.7117432195199644,3458.5833333333335,56.25,1596.0273183107588,1539.7773183107588,2737.381899219127,94.0,2.0,3.0,32,10
org.apache:collections,MockTestCase.java,HIGH,0.072589732194132,0.22313922585268797,0.4510801817422294,0.700458680406602,3431.875,56.25,1548.0507987166136,1491.8007987166136,2652.0903088295354,15.0,0.0,2.0,12,7
org.apache:collections,TiedMapEntry.java,HIGH,0.07135293995368264,0.2196625563654837,0.4452265983620849,0.6940041963308445,3462.4999999999995,56.25,1541.5970968287188,1485.3470968287188,2640.6170610288336,62.0,2.0,1.0,30,9
org.apache:ognl,ASTNot.java,HIGH,0.07132422948512773,0.21958172077438798,0.4450900696416432,0.6938528271279303,3446.75,56.25,1534.1141975373337,1477.8641975373337,2627.3141289552595,22.0,0.0,2.0,11,7
org.apache:collections,TrieUtilsTest.java,HIGH,0.06599795161436861,0.204483456451661,0.4192476264594046,0.6645238846039923,3622.5,56.25,1518.7245268491931,1462.4745268491931,2599.9547143985656,10.0,0.0,1.0,11,5
org.apache:commons-io,SizeFileComparator.java,HIGH,0.07072225997450554,0.21788549587380213,0.44222071214542635,0.6906628722707598,3380.0,56.25,1494.706007051541,1438.456007051541,2557.255123647184,90.0,0.0,1.0,26,8
org.apache:collections,ComparatorChainTest.java,HIGH,0.06907536997307939,0.21323168697921802,0.4343042189890094,0.6817757020569328,3426.611111111111,56.25,1488.1916623901727,1431.9416623901727,2545.6740664714184,67.0,1.0,7.0,13,8
org.apache:collections,LoopingListIteratorTest.java,HIGH,0.06874089147577278,0.21228414442433452,0.4326844551099559,0.6799417446903828,3603.75,59.0625,1559.2866051025035,1500.2241051025035,2540.0619768931274,105.0,0.0,11.0,11,8
org.apache:collections,ReverseComparator.java,HIGH,0.07265921685410737,0.22333422682974113,0.45140743562145513,0.7008174879649758,3284.0,56.25,1482.4220185808585,1426.1720185808585,2535.416921921526,42.0,1.0,3.0,45,11
org.apache:vfs,FileListener.java,HIGH,0.0714446347513713,0.21992068777667162,0.44566244380043263,0.6944871658685262,3320.0,56.25,1479.5993134174364,1423.3493134174364,2530.3987794087757,60.0,0.0,3.0,20,9
org.apache:collections,NodeListIteratorTest.java,HIGH,0.06803338252785385,0.21027720840361896,0.42924486672432405,0.6760297522067138,3431.875,56.25,1473.1147269895396,1416.8647269895396,2518.8706257591816,15.0,0.0,2.0,14,7
org.apache:collections,UnmodifiableMapEntryTest.java,HIGH,0.06728297048568777,0.20814465534620208,0.4255767903185713,0.6718315786552018,3431.875,56.25,1460.5263472745469,1404.2763472745469,2496.491284043639,15.0,0.0,2.0,10,7
org.apache:vfs,FileTypeMap.java,HIGH,0.07329723847670166,0.22512315869510302,0.45440437871136163,0.7040933448565582,3210.0,56.25,1458.6380556634708,1402.3880556634708,2493.134321179504,5.0,0.0,1.0,31,10
org.apache:commons-io,FileCleaningTracker.java,HIGH,0.07178735488575672,0.22088495405259156,0.44728881803071485,0.6962860016546085,3243.854166666667,56.25,1450.939696072343,1394.689696072343,2479.4483485730543,39.0,0.0,5.0,38,10
org.apache:vfs,FileSelector.java,HIGH,0.07069835144861314,0.21781807326741442,0.44210648203260816,0.6905355351930561,3280.0,56.25,1450.1092610669548,1393.8592610669548,2477.972019674586,40.0,0.0,2.0,24,10
org.apache:daemon,Daemon.java,HIGH,0.06925872202319572,0.21375076468610021,0.4351904126564887,0.6827768426944896,3320.0,56.25,1444.8321700195427,1388.5821700195427,2468.590524479187,60.0,0.0,3.0,21,9
